,X,Y
1,735,133
2,1175,95
3,1068,148
4,1076,101
5,984,276
6,941,245
7,1101,202
8,1135,230
9,1236,253
10,1318,240
11,1816,449
12,1773,432
13,1720,450
14,1706,367
15,1615,524
16,1591,486
17,1585,429
18,1583,636
19,1818,746
20,1772,720
21,1648,647
22,2069,408
23,2175,413
24,2206,433
25,2200,408
26,2132,499
27,2228,493
28,2380,713
29,2339,606
30,2209,584
31,2432,640
32,1379,380
33,1711,1029
34,1659,892
35,1715,877
36,1563,960
37,1435,1022
38,1439,1125
39,1333,1225
40,1412,1289
41,408,583
42,483,635
43,554,456
44,1750,1405
45,1837,1405
46,1891,1502
47,2007,1560
48,2043,1611
49,2061,1582
50,1941,1440
51,1773,1500
52,455,1180
53,508,1212
54,455,1282
55,1101,1496
56,1134,1426
57,1390,1491
58,2402,1054
59,2434,742
60,2544,922
61,2492,1013
62,2144,1178
63,2186,1156
64,2129,923
65,2142,964
66,2330,866
67,2340,924
68,2035,859
69,2002,882
70,1958,852
71,2008,777
72,1912,1008
73,404,1032
74,399,970
75,391,885
76,1252,1092
77,1202,1124
78,895,1148
79,943,1258
80,968,1180
81,1369,725
82,1314,785
83,1417,838
84,1193,587
85,1214,626
86,1275,534
87,1310,573
88,830,654
89,789,683
90,830,778
91,674,814
92,712,856
93,700,924
94,799,358
95,806,415
96,778,404
