,X,Y
1,829,262
2,1280,220
3,1177,257
4,1181,224
5,1085,394
6,1033,368
7,1202,326
8,1235,351
9,1324,371
10,1356,344
11,1901,553
12,1857,536
13,1784,554
14,1790,469
15,1700,625
16,1686,596
17,1672,529
18,1647,730
19,1896,845
20,1850,817
21,1754,760
22,2146,522
23,2238,515
24,2282,538
25,2275,521
26,2199,602
27,2301,599
28,2430,798
29,2391,711
30,2277,690
31,2503,733
32,1462,489
33,1795,1122
34,1731,994
35,1798,975
36,1649,1053
37,1539,1114
38,1548,1223
39,1413,1316
40,1477,1373
41,540,659
42,596,753
43,663,582
44,1828,1520
45,1907,1497
46,1931,1611
47,2020,1642
48,2080,1699
49,2092,1659
50,1998,1540
51,1831,1597
52,560,1252
53,601,1284
54,582,1348
55,1216,1550
56,1249,1490
57,1428,1565
58,2512,1123
59,2495,831
60,2624,994
61,2564,1102
62,2221,1271
63,2274,1238
64,2196,1007
65,2215,1047
66,2395,976
67,2406,1034
68,2116,944
69,2083,969
70,2033,953
71,2072,888
72,1967,1076
73,487,1128
74,491,1071
75,501,984
76,1306,1217
77,1280,1247
78,1014,1255
79,1039,1341
80,1080,1281
81,1456,832
82,1411,900
83,1509,928
84,1266,701
85,1282,747
86,1417,724
87,1398,690
88,945,759
89,894,800
90,963,862
91,778,909
92,813,954
93,810,1009
94,898,480
95,907,545
96,880,531
