,X,Y
1,41,454
2,158,484
3,216,344
4,366,516
5,304,609
6,428,535
7,506,308
8,844,399
9,823,323
10,960,364
11,936,561
12,837,510
13,1029,633
14,889,232
15,1332,322
16,1423,420
17,1099,588
18,1053,536
19,1063,712
20,1152,743
21,1201,723
22,1131,832
23,1060,798
24,1000,850
25,842,855
26,915,869
27,1022,973
28,814,724
29,707,667
30,921,604
31,913,698
32,1291,78
33,1105,233
34,1453,310
35,410,813
36,518,941
37,637,808
38,575,672
39,68,873
40,230,604
41,278,930
42,271,874
43,246,896
44,1287,116
45,1225,1247
46,1317,1181
47,1315,1276
48,1237,1310
49,610,1229
50,617,1303
51,669,1307
52,1521,848
53,229,1199
54,246,1270
55,1020,1290
56,887,1308
57,924,1332
58,1304,672
59,1365,720
60,1322,744
61,1230,552
62,1211,512
63,1627,624
64,1297,1414
65,1195,950
66,1209,908
67,1259,902
68,507,374
69,411,1223
70,373,1185
71,514,465
72,348,332
73,1272,328
74,1004,387
75,1162,325
76,929,1017
77,1168,1298
78,35,549
