,X,Y
1,170,281
2,278,330
3,355,198
4,456,389
5,380,483
6,509,425
7,620,214
8,930,345
9,921,268
10,1057,329
11,1004,520
12,908,458
13,1089,601
14,1004,194
15,1422,332
16,1503,446
17,1168,570
18,1122,510
19,1123,673
20,1193,728
21,1246,717
22,1162,815
23,1094,771
24,1029,818
25,875,795
26,943,820
27,1033,937
28,865,667
29,768,595
30,983,560
31,958,649
32,1408,92
33,1215,213
34,1536,341
35,452,693
36,539,838
37,677,721
38,633,575
39,126,691
40,309,469
41,302,792
42,301,737
43,270,754
44,1407,130
45,1195,1235
46,1293,1181
47,1279,1274
48,1196,1293
49,590,1129
50,594,1210
51,642,1229
52,1544,888
53,230,1056
54,244,1125
55,984,1249
56,862,1251
57,895,1282
58,1350,685
59,1400,744
60,1360,748
61,1296,550
62,1280,500
63,1671,668
64,1238,1407
65,1212,937
66,1217,897
67,1274,900
68,612,273
69,394,1094
70,371,1075
71,603,365
72,473,203
73,1363,326
74,1095,356
75,1270,316
76,937,967
77,1133,1271
78,151,361
